,h,range,ip,des,diameter,last_obs_jd,id,fullname,ps_cum,ps_max,n_imp,ts_max,last_obs,v_inf
0,18.54,2056-2113,8.515158e-07,1979 XB,0.66,2444222.5,bJ79X00B,(1979 XB),-2.69,-2.99,4,0,1979-12-15,23.7606234552547
1,28.45,2060-2122,0.0001203297828,2022 KK2,0.0069,2459722.5,bK22K02K,(2022 KK2),-5.59,-5.79,33,0,2022-05-23,15.5694051293592
2,24.79,2069-2122,0.002743395186,2000 SG344,0.037,2451820.5,bK00SY4G,(2000 SG344),-2.77,-3.11,300,0,2000-10-03,1.35802744453748
3,26.95,2081-2120,1.9442009e-05,2012 VS76,0.014,2456247.5,bK12V76S,(2012 VS76),-5.74,-6.05,15,0,2012-11-16,11.4626328606267
4,26.19,2102-2102,3.772e-09,2018 GN,0.02,2458217.5,bK18G00N,(2018 GN),-8.95,-8.95,1,0,2018-04-09,20.20
5,26.32,2064-2064,2.937e-06,2011 TO,0.018,2456304.5,bK11T00O,(2011 TO),-6.16,-6.16,1,0,2013-01-12,8.55
6,26.51,2103-2122,1.22522146e-05,2012 BA102,0.017,2455978.5,bK12BA2A,(2012 BA102),-6.03,-6.27,20,0,2012-02-21,7.21203952320587
7,19.92,2069-2118,6.5351e-09,2014 HN197,0.35,2456774.5,bK14HJ7N,(2014 HN197),-5.51,-5.98,12,0,2014-04-27,21.9988508209515
8,24.51,2068-2119,9.90088e-08,2005 UL6,0.042,2453696.5,bK05U06L,(2005 UL6),-6.70,-6.95,6,0,2005-11-22,12.3834503195676
9,24.86,2044-2102,3.1018e-08,2009 DV,0.036,2454886.5,bK09D00V,(2009 DV),-7.24,-7.37,2,0,2009-02-24,22.0982648784577
10,27.85,2068-2068,5.902e-10,2009 EH1,0.0091,2454895.5,bK09E01H,(2009 EH1),-10.56,-10.56,1,0,2009-03-05,10.69
11,28.13,2040-2040,8.724e-08,2021 LY1,0.008,2459377.5,bK21L01Y,(2021 LY1),-8.05,-8.05,1,0,2021-06-12,11.47
12,26.58,2111-2120,5.329099e-06,2021 NM3,0.016,2459408.5,bK21N03M,(2021 NM3),-6.41,-6.48,8,0,2021-07-13,8.21159723247776
13,26.02,2106-2106,8.859e-08,2018 XX2,0.021,2458494.5,bK18X02X,(2018 XX2),-7.75,-7.75,1,0,2019-01-11,11.91
14,29.75,2039-2122,3.96111598e-05,2019 GP21,0.0038,2458577.5,bK19G21P,(2019 GP21),-6.77,-7.32,74,0,2019-04-04,10.8171734948038
15,30.01,2085-2121,6.1740984e-05,2018 WA1,0.0034,2458444.5,bK18W01A,(2018 WA1),-7.08,-7.88,77,0,2018-11-22,3.03482112870115
16,27.24,2059-2122,9.80658349999999e-05,2019 KJ4,0.012,2458642.5,bK19K04J,(2019 KJ4),-5.38,-6.20,201,0,2019-06-08,5.00834214719123
17,26.17,2090-2120,2.652e-09,2005 CM7,0.02,2453411.5,bK05C07M,(2005 CM7),-9.12,-9.28,2,0,2005-02-10,18.3491553544495
