fecha,visitas,anio,mes,dia_semana,numero_semana
2022-01-01,109,2022,1,Saturday,1
2022-01-02,137,2022,1,Sunday,1
2022-01-03,164,2022,1,Monday,2
2022-01-04,156,2022,1,Tuesday,2
2022-01-05,78,2022,1,Wednesday,2
2022-01-06,53,2022,1,Thursday,2
2022-01-07,100,2022,1,Friday,2
2022-01-08,124,2022,1,Saturday,2
2022-01-09,140,2022,1,Sunday,2
2022-01-10,171,2022,1,Monday,3
2022-01-11,125,2022,1,Tuesday,3
2022-01-12,83,2022,1,Wednesday,3
2022-01-13,71,2022,1,Thursday,3
2022-01-14,39,2022,1,Friday,3
2022-01-15,83,2022,1,Saturday,3
2022-01-16,147,2022,1,Sunday,3
2022-01-17,149,2022,1,Monday,4
2022-01-18,149,2022,1,Tuesday,4
2022-01-19,83,2022,1,Wednesday,4
2022-01-20,47,2022,1,Thursday,4
2022-01-21,115,2022,1,Friday,4
2022-01-22,122,2022,1,Saturday,4
2022-01-23,168,2022,1,Sunday,4
2022-01-24,149,2022,1,Monday,5
2022-01-25,141,2022,1,Tuesday,5
2022-01-26,112,2022,1,Wednesday,5
2022-01-27,61,2022,1,Thursday,5
2022-01-28,102,2022,1,Friday,5
2022-01-29,123,2022,1,Saturday,5
2022-01-30,169,2022,1,Sunday,5
2022-01-31,174,2022,1,Monday,6
2022-02-01,197,2022,2,Tuesday,6
2022-02-02,118,2022,2,Wednesday,6
2022-02-03,71,2022,2,Thursday,6
2022-02-04,119,2022,2,Friday,6
2022-02-05,119,2022,2,Saturday,6
2022-02-06,187,2022,2,Sunday,6
2022-02-07,155,2022,2,Monday,7
2022-02-08,142,2022,2,Tuesday,7
2022-02-09,130,2022,2,Wednesday,7
2022-02-10,115,2022,2,Thursday,7
2022-02-11,114,2022,2,Friday,7
2022-02-12,148,2022,2,Saturday,7
2022-02-13,185,2022,2,Sunday,7
2022-02-14,172,2022,2,Monday,8
2022-02-15,161,2022,2,Tuesday,8
2022-02-16,124,2022,2,Wednesday,8
2022-02-17,128,2022,2,Thursday,8
2022-02-18,125,2022,2,Friday,8
2022-02-19,123,2022,2,Saturday,8
2022-02-20,204,2022,2,Sunday,8
2022-02-21,201,2022,2,Monday,9
2022-02-22,169,2022,2,Tuesday,9
2022-02-23,152,2022,2,Wednesday,9
2022-02-24,134,2022,2,Thursday,9
2022-02-25,143,2022,2,Friday,9
2022-02-26,147,2022,2,Saturday,9
2022-02-27,198,2022,2,Sunday,9
2022-02-28,221,2022,2,Monday,10
2022-03-01,208,2022,3,Tuesday,10
2022-03-02,136,2022,3,Wednesday,10
2022-03-03,116,2022,3,Thursday,10
2022-03-04,108,2022,3,Friday,10
2022-03-05,146,2022,3,Saturday,10
2022-03-06,226,2022,3,Sunday,10
2022-03-07,247,2022,3,Monday,11
2022-03-08,192,2022,3,Tuesday,11
2022-03-09,171,2022,3,Wednesday,11
2022-03-10,132,2022,3,Thursday,11
2022-03-11,122,2022,3,Friday,11
2022-03-12,182,2022,3,Saturday,11
2022-03-13,245,2022,3,Sunday,11
2022-03-14,224,2022,3,Monday,12
2022-03-15,230,2022,3,Tuesday,12
2022-03-16,103,2022,3,Wednesday,12
2022-03-17,145,2022,3,Thursday,12
2022-03-18,141,2022,3,Friday,12
2022-03-19,173,2022,3,Saturday,12
2022-03-20,220,2022,3,Sunday,12
2022-03-21,189,2022,3,Monday,13
2022-03-22,198,2022,3,Tuesday,13
2022-03-23,166,2022,3,Wednesday,13
2022-03-24,162,2022,3,Thursday,13
2022-03-25,132,2022,3,Friday,13
2022-03-26,166,2022,3,Saturday,13
2022-03-27,212,2022,3,Sunday,13
2022-03-28,250,2022,3,Monday,14
2022-03-29,211,2022,3,Tuesday,14
2022-03-30,151,2022,3,Wednesday,14
2022-03-31,145,2022,3,Thursday,14
2022-04-01,147,2022,4,Friday,14
2022-04-02,204,2022,4,Saturday,14
2022-04-03,210,2022,4,Sunday,14
2022-04-04,227,2022,4,Monday,15
