fecha,visitas,anio,mes,dia_semana,numero_semana,año,día_mes,día_semana,número_semana,trimestre,es_fin_semana,días_desde_inicio,promedio_móvil_7,promedio_móvil_30,std_móvil_7,cambio_anterior,cambio_semana_anterior,visitas_lag_1,visitas_lag_7,visitas_lag_30,promedio_7_dias_pasados
2022-01-01,109,2022,1,Saturday,1,2022,1,5,52,1,1,0,109.0,109.0,,,,,,,
2022-01-02,137,2022,1,Sunday,1,2022,2,6,52,1,1,1,123.0,123.0,19.79898987322333,28.0,,109.0,,,
2022-01-03,164,2022,1,Monday,2,2022,3,0,1,1,0,2,136.66666666666666,136.66666666666666,27.501515109777742,27.0,,137.0,,,
2022-01-04,156,2022,1,Tuesday,2,2022,4,1,1,1,0,3,141.5,141.5,24.447222064411875,-8.0,,164.0,,,
2022-01-05,78,2022,1,Wednesday,2,2022,5,2,1,1,0,4,128.8,128.8,35.421744733990735,-78.0,,156.0,,,
2022-01-06,53,2022,1,Thursday,2,2022,6,3,1,1,0,5,116.16666666666667,116.16666666666667,44.28731947935738,-25.0,,78.0,,,
2022-01-07,100,2022,1,Friday,2,2022,7,4,1,1,0,6,113.85714285714286,113.85714285714286,40.88776741043125,47.0,,53.0,,,
2022-01-08,124,2022,1,Saturday,2,2022,8,5,1,1,1,7,116.0,115.125,40.98373661181551,24.0,15.0,100.0,109.0,,113.85714285714286
2022-01-09,140,2022,1,Sunday,2,2022,9,6,1,1,1,8,116.42857142857143,117.88888888888889,41.25472555904816,16.0,3.0,124.0,137.0,,116.0
2022-01-10,171,2022,1,Monday,3,2022,10,0,2,1,0,9,117.42857142857143,123.2,42.660899907906085,31.0,7.0,140.0,164.0,,116.42857142857143
2022-01-11,125,2022,1,Tuesday,3,2022,11,1,2,1,0,10,113.0,123.36363636363636,39.479952718647816,-46.0,-31.0,171.0,156.0,,117.42857142857143
2022-01-12,83,2022,1,Wednesday,3,2022,12,2,2,1,0,11,113.71428571428571,120.0,38.78021095745564,-42.0,5.0,125.0,78.0,,113.0
2022-01-13,71,2022,1,Thursday,3,2022,13,3,2,1,0,12,116.28571428571429,116.23076923076923,34.43696795457989,-12.0,18.0,83.0,53.0,,113.71428571428571
2022-01-14,39,2022,1,Friday,3,2022,14,4,2,1,0,13,107.57142857142857,110.71428571428571,45.26167305368912,-32.0,-61.0,71.0,100.0,,116.28571428571429
2022-01-15,83,2022,1,Saturday,3,2022,15,5,2,1,1,14,101.71428571428571,108.86666666666666,45.43388708043914,44.0,-41.0,39.0,124.0,,107.57142857142857
2022-01-16,147,2022,1,Sunday,3,2022,16,6,2,1,1,15,102.71428571428571,111.25,46.481947340568986,64.0,7.0,83.0,140.0,,101.71428571428571
2022-01-17,149,2022,1,Monday,4,2022,17,0,3,1,0,16,99.57142857142857,113.47058823529412,41.58067316617638,2.0,-22.0,147.0,171.0,,102.71428571428571
2022-01-18,149,2022,1,Tuesday,4,2022,18,1,3,1,0,17,103.0,115.44444444444444,44.88503833870108,0.0,24.0,149.0,125.0,,99.57142857142857
2022-01-19,83,2022,1,Wednesday,4,2022,19,2,3,1,0,18,103.0,113.73684210526316,44.88503833870108,-66.0,0.0,149.0,83.0,,103.0
2022-01-20,47,2022,1,Thursday,4,2022,20,3,3,1,0,19,99.57142857142857,110.4,48.50724050028388,-36.0,-24.0,83.0,71.0,,103.0
2022-01-21,115,2022,1,Friday,4,2022,21,4,3,1,0,20,110.42857142857143,110.61904761904762,40.541571844454275,68.0,76.0,47.0,39.0,,99.57142857142857
2022-01-22,122,2022,1,Saturday,4,2022,22,5,3,1,1,21,116.0,111.13636363636364,38.785736209763165,7.0,39.0,115.0,83.0,,110.42857142857143
2022-01-23,168,2022,1,Sunday,4,2022,23,6,3,1,1,22,119.0,113.6086956521739,42.24136992728022,46.0,21.0,122.0,147.0,,116.0
2022-01-24,149,2022,1,Monday,5,2022,24,0,4,1,0,23,119.0,115.08333333333333,42.24136992728022,-19.0,0.0,168.0,149.0,,119.0
2022-01-25,141,2022,1,Tuesday,5,2022,25,1,4,1,0,24,117.85714285714286,116.12,41.39415647740863,-8.0,-8.0,149.0,149.0,,119.0
2022-01-26,112,2022,1,Wednesday,5,2022,26,2,4,1,0,25,122.0,115.96153846153847,38.68677637987775,-29.0,29.0,141.0,83.0,,117.85714285714286
2022-01-27,61,2022,1,Thursday,5,2022,27,3,4,1,0,26,124.0,113.92592592592592,34.27341049073855,-51.0,14.0,112.0,47.0,,122.0
2022-01-28,102,2022,1,Friday,5,2022,28,4,4,1,0,27,122.14285714285714,113.5,35.18251730347793,41.0,-13.0,61.0,115.0,,124.0
2022-01-29,123,2022,1,Saturday,5,2022,29,5,4,1,1,28,122.28571428571429,113.82758620689656,35.18387076352973,21.0,1.0,102.0,122.0,,122.14285714285714
2022-01-30,169,2022,1,Sunday,5,2022,30,6,4,1,1,29,122.42857142857143,115.66666666666667,35.401775580974956,46.0,1.0,123.0,168.0,,122.28571428571429
