make,model,version,price,fuel,year,kms,power,doors,shift,color,is_professional
CITROEN,C1,CITROEN C1 PureTech 60KW 82CV Feel 5p.,6200,Gasolina,2017.0,50071,82.0,5,Manual,Blanco,True
FORD,Transit Connect,FORD Transit Connect Van 1.5 TDCi 100cv Ambiente 200 L1,7851,Diésel,2016.0,103000,100.0,4,Manual,Blanco,True
VOLKSWAGEN,Caravelle,VOLKSWAGEN Caravelle Largo 2.0 TDI 140 Comfortlin Edition BMT,19426,Diésel,2014.0,120000,140.0,4,Manual,Blanco,True
FORD,Transit,FORD Transit 350 96kW L4 Ambiente Propulsion Trasera,22850,Diésel,2017.0,107000,130.0,2,Manual,Blanco,True
PEUGEOT,3008,PEUGEOT 3008 Style 1.2 PureTech 130 SS 5p.,11490,Gasolina,2016.0,78665,130.0,5,Manual,Blanco,True
LAND-ROVER,Discovery Sport,LAND-ROVER Discovery Sport 2.0L TD4 110kW 150CV 4x4 Pure 5p.,28500,Diésel,2017.0,36238,150.0,5,Automático,Blanco,True
HONDA,Civic,HONDA Civic 2.2 iDTEC Sport 5p.,8200,Diésel,2012.0,203000,150.0,5,Manual,Blanco,False
CITROEN,Berlingo,CITROEN Berlingo Multispace 20 Aniv. PureTech 81KW110CV 5p.,12100,Gasolina,2018.0,45000,110.0,5,Manual,Azul,False
NISSAN,NOTE,NISSAN NOTE 5p. 1.2G 80CV Acenta NissanConnect 5p.,6300,Gasolina,2016.0,77000,80.0,5,Manual,Blanco,False
CITROEN,Berlingo,CITROEN Berlingo Multispace 20 Aniv.BlueHDi 74KW 100CV,13900,Diésel,2017.0,81000,100.0,5,Manual,Gris / Plata,True
VOLKSWAGEN,Polo,VOLKSWAGEN Polo 75 Trendline Auto 3p.,1300,Gasolina,2001.0,217000,75.0,3,Manual,Azul,False
MERCEDES-BENZ,Clase CL,MERCEDES-BENZ Clase CL CL 500 2p.,6900,Gasolina,2001.0,169450,306.0,2,Automático,Gris / Plata,True
FIAT,Panda,FIAT Panda 4X4 1.3 70kW 95CV Diesel E6 5p.,9500,Diésel,2017.0,101623,95.0,5,Manual,296 Blanco Gelato (pastel),True
SKODA,Octavia,SKODA Octavia 1.0 TSI 85KW 115CV Ambition 5p.,13990,Gasolina,2019.0,7591,115.0,5,Manual,Gris / Plata,True
CITROEN,C-Elysée,CITROEN CElysee VTi 115cv Exclusive 4p.,4990,Gasolina,2014.0,80000,115.0,4,Manual,Gris / Plata,True
FIAT,Doblò,FIAT Doblò Panorama Family 7pl 1.9 Multijet DPF 5p.,8000,Diésel,2010.0,135000,120.0,5,Manual,Granate,False
FORD,C-Max,FORD CMax 1.0 EcoBoost 92kW 125CV Trend 5p.,12700,Gasolina,2018.0,53000,125.0,5,Manual,Gris / Plata,True
CITROEN,C3,CITROEN C3 PureTech 50KW 68CV FEEL 5p.,12490,Gasolina,2019.0,13000,68.0,5,Manual,Negro,True
BMW,Serie 1,BMW Serie 1 116d 5p.,28900,Diésel,2020.0,5000,116.0,5,Automático,Gris / Plata (B39 Pintura metalizada Mineralgrau),True
OPEL,Astra,OPEL Astra 1.7 CDTi SS 130 CV Excellence 5p.,8490,Diésel,2014.0,139990,130.0,5,Manual,Gris / Plata,True
AUDI,A3,AUDI A3 Sportback 2.0 TDI Ambition 5p.,5000,Diésel,2006.0,222500,140.0,5,Manual,Gris / Plata,False
VOLVO,XC60,VOLVO XC60 2.4D Summum Auto 5p.,10890,Diésel,2009.0,214650,175.0,5,Automático,Blanco,True
MITSUBISHI,ASX,MITSUBISHI ASX 160 DID Motion 4WD 5p.,15300,Diésel,2016.0,67602,114.0,5,Manual,Gris / Plata,True
FORD,Focus,FORD Focus 1.0 Ecoboost 92kW Trend 5p.,12790,Gasolina,2018.0,29000,125.0,5,Manual,Gris / Plata,True
FIAT,500L,FIAT 500L 1.6 16v Multijet II 120CV SS Lounge 5p.,12800,Diésel,2016.0,60029,120.0,5,Manual,Rojo,True
BMW,Serie 3,BMW Serie 3 320D 2p.,10000,Diésel,2009.0,162000,177.0,2,Automático,Blanco,True
FORD,S-MAX,FORD SMAX 2.0 TDCi Panther 110kW Titanium Pow 5p.,29300,Diésel,2019.0,11936,150.0,5,Automático,Negro,True
RENAULT,Captur,RENAULT Captur Zen TCe 66kW 90CV 5p.,14650,Gasolina,2019.0,14000,90.0,5,Manual,Blanco,True
SEAT,Ibiza,SEAT Ibiza 1.0 EcoTSI 81kW 110CV FR DSG 5p.,11400,Gasolina,2017.0,28000,110.0,5,Automático,Negro,False
BMW,Serie 5,BMW Serie 5 520D 4p.,18900,Diésel,2014.0,99800,190.0,4,Automático,Azul,True
PEUGEOT,508 Hybrid,PEUGEOT 508 Hybrid SW GT Line 225 eEAT8 5p.,37000,Híbrido enchufable,2020.0,1200,225.0,5,Automático,Blanco (Blanco nacarado),True
PEUGEOT,308,PEUGEOT 308 SW Style 1.6 BlueHDi 120 EAT6 5p.,6750,Diésel,2015.0,215000,120.0,5,Automático,Negro,True
KIA,XCeed,KIA XCeed 1.6 GDi PHEV 104kW 141CV eMotion 5p.,32300,Híbrido enchufable,2021.0,2800,141.0,5,Manual,Cassa White (WD),True
OPEL,Insignia,OPEL Insignia 1.6 CDTI SS 88kW 120CV Business 5p.,9500,Diésel,2016.0,101859,120.0,5,Manual,Blanco (Sensor Parking),True
VOLKSWAGEN,Golf,VOLKSWAGEN Golf Variant Advance 1.6 TDI 110CV BMT 5p.,11300,Diésel,2016.0,77867,110.0,5,Manual,Z2Z2 Azul Noche (metalizado),True
RENAULT,Clio,RENAULT Clio Limited 1.2 16v 55kW 75CV 18 5p.,9500,Gasolina,2018.0,43543,75.0,5,Manual,Gris / Plata,True
PEUGEOT,1007,PEUGEOT 1007 1.6 Sporty 2Tronic 3p.,4200,Gasolina,2007.0,118000,110.0,3,Manual,Negro,True
PEUGEOT,Rifter,PEUGEOT Rifter GT Standard BlueHDi 96kW 5p.,26995,Diésel,2021.0,1,130.0,5,Manual,Gris / Plata (GRIS ARTENSE),True
VOLKSWAGEN,Golf Sportsvan,VOLKSWAGEN Golf Sportsvan Business  Navi 1.6 TDI BMT 5p.,14900,Diésel,2016.0,155000,115.0,5,Manual,Gris / Plata,True
OPEL,Crossland X,OPEL Crossland X 1.2 60kW 81CV Design Line 120 Anivers. 5p.,19150,Gasolina,2019.0,13871,81.0,5,Manual,Gris / Plata,True
SEAT,León,SEAT Leon 1.6 TDI 110cv StSp Style 5p.,10500,Diésel,2016.0,127000,110.0,5,Manual,Blanco,True
SEAT,León,SEAT Leon 2.0 TDI 110kW DSG7 SS FR Go L 5p.,26400,Diésel,2020.0,50,150.0,5,Automático,Negro,True
NISSAN,NOTE,NISSAN NOTE 5p. 1.2G 80CV NTEC Pack Comfort 5p.,7900,Gasolina,2015.0,54200,80.0,5,Manual,Blanco,False
MERCEDES-BENZ,Clase B,MERCEDES-BENZ Clase B B 180 CDI 5p.,13500,Diésel,2014.0,104000,109.0,5,Automático,Blanco,True
MERCEDES-BENZ,Clase E,MERCEDES-BENZ Clase E E 220 d 4p.,23900,Diésel,2016.0,150276,194.0,4,Automático,Negro,True
